#8b3e24
#7e5f43
#595959
#403f3e
#2e4d4f
#639ea6
#5fc8a7
#42a668
#7cc37f
#95cc85
#a2a674
#a39e91
#9e9683
#a89c7e
#b4a181
#c7b188
#debe8c
#bfb02b
#af8a31
#d68b47
