#7d7d7d
#c84e41
#cdaaa6
#a86457
#d5be7b
#4f4936
#5e5e36
#87914d
#c7d49f
#a3c0a2
#75c98e
#6f9d81
#a6d6d1
#36877f
#4d9894
#232938
#1f273d
#9e7bcf
#943270
#5c2f36
