#a67171
#c47070
#b0592e
#d9814a
#ce926c
#8f663a
#d9964a
#dfb053
#99c421
#accc80
#75846a
#8ace81
#3ccd3b
#364737
#48806a
#387568
#36c2bc
#51b4ca
#5e2834
#7a4c56
