#b53333
#ae4c36
#9b8d88
#8c6755
#afa49e
#deb093
#9b6e42
#999936
#c8cc95
#888f4d
#d3d6bc
#8a976c
#5ead7d
#caded8
#9ebbbb
#525261
#bab9be
#42394a
#6f627a
#7d3a6f
