#6e6e6e
#2b2b2b
#876e63
#a38678
#784e2a
#877e63
#a79a2a
#cdc75c
#d2d083
#5d868a
#206a8a
#747685
#64656d
#1f214e
#6e6387
#856387
#d9c3d3
#c291ae
#87636d
#af636c
