#575e79
#33302d
#402c2b
#5e463d
#944d4d
#9c796d
#c78573
#d9b8b3
#cf9061
#c0924d
#7a7223
#d1ba5d
#e2e2b6
#c3d824
#97c04f
#93c088
#45d3bf
#93c1cc
#478697
#3c796f
