#807373
#b63427
#999388
#c7c2ab
#abd821
#b8e07b
#5eb135
#669c5d
#2b372e
#416652
#407580
#6f848f
#434a54
#2a303b
#878690
#6a687a
#2f2c42
#553a5a
#624466
#84558a
