#c4a9a9
#402c2b
#9e3520
#d1c4b2
#e3be36
#7a7a6e
#8e923e
#52602b
#93c088
#72a36c
#86c07f
#566755
#9eac9f
#41b985
#61d8ba
#27364f
#787887
#594150
#a42b67
#c2294c
