#9f5350
#c4b0af
#694b2f
#654b24
#a87c28
#aab24a
#70ad8f
#75c2a0
#87c9b5
#90cdbe
#2fe0cc
#27b3a5
#608597
#2e3147
#b991b3
#8a4f80
#a399a1
#9f7986
#de2a54
#6b2629
