#282d31
#3b333a
#32393b
#423636
#3b3b3b
#3b3e4a
#404d49
#7c356f
#b5245f
#218988
#997748
#797bac
#cc745c
#a69989
#8ca1b6
#baac87
#afb3b6
#91bad6
#e3b798
#d7cec7
