#262c2e
#2f2e3b
#3d3d3d
#692c3a
#921c30
#60562c
#c2274b
#3c7893
#b1608a
#b66878
#7a875f
#b373b3
#b9a36e
#d398b3
#59bfb3
#86babf
#71c4c7
#a9d4b4
#c9d6d8
#d4e0a4
