#23361d
#67386a
#76667d
#8763d3
#8d6ece
#8e7bdb
#997fbc
#789fab
#bc9763
#64b4a9
#d7a165
#aeb46c
#39c4b6
#67c9ac
#ccb7a5
#86c9c0
#41d9a0
#91d9a7
#92ded2
#dbd0b2
