#9e7bcf
#7d7d7d
#36877f
#4d9894
#6f9d81
#75c98e
#a6d6d1
#a3c0a2
#c7d49f
#d5be7b
#87914d
#5e5e36
#4f4936
#232938
#1f273d
#5c2f36
#943270
#c84e41
#a86457
#cdaaa6
