#d098db
#745ba6
#6058ad
#4d50a3
#485494
#685a70
#a12432
#a6292f
#ab4747
#795e4d
#784e2a
#29221a
#3c3b39
#57695b
#6a8f72
#8dc179
#c0c257
#c1c2a5
#73d0d1
#a4d0d7
