#d6644d
#d17931
#b89f82
#565038
#cecc93
#dfdfd1
#b6b8b0
#a9ca93
#91998c
#626662
#b5e3c6
#7e8b86
#5d93a3
#2b5b75
#5b6eae
#583c6c
#704c85
#4c354f
#8c4c8b
#d73659
