#6b27d9
#522766
#4c2636
#8e223c
#83695a
#be94a0
#baa1b4
#d4a4d8
#b4b7d8
#babebd
#b3ac75
#b3a469
#a4b034
#d6dd5f
#68d8a9
#75bfa5
#91bdbf
#75a191
#469172
#38745a
