#bf9351
#786f4c
#d6d396
#bfbfb2
#ccd6bd
#76cc41
#8e9d88
#4aa82d
#56c136
#2d9b6d
#45cca5
#269b99
#7986a1
#3d4273
#a2a2c3
#6666e2
#2d2254
#615a70
#846599
#bd53b2
