#2e3147
#6b2629
#654b24
#694b2f
#8a4f80
#9f5350
#de2a54
#608597
#9f7986
#a87c28
#a399a1
#b991b3
#70ad8f
#27b3a5
#aab24a
#75c2a0
#c4b0af
#87c9b5
#90cdbe
#2fe0cc
