#ba5757
#d94343
#ba7d57
#d9c5a7
#cca358
#ba9957
#afba57
#a6c3b0
#52b677
#81c4b4
#6aa095
#719199
#82b5c2
#4330cc
#4325bc
#9973d1
#bca4bd
#d8a2ce
#dd7eb6
#e599ba
