#33302d
#402c2b
#5e463d
#575e79
#944d4d
#3c796f
#7a7223
#478697
#9c796d
#c78573
#c0924d
#cf9061
#97c04f
#93c088
#93c1cc
#d1ba5d
#45d3bf
#d9b8b3
#c3d824
#e2e2b6
