#272d2e
#454235
#573d4a
#59434b
#852b23
#73796b
#7e9153
#4098c7
#9e9340
#a5a242
#a3a33c
#a4a16a
#a3a349
#54b2d1
#b3b0a2
#aeb745
#dbbaa2
#6cd7e2
#81dbcf
#d7d6b7
