#944d4d
#402c2b
#d9b8b3
#c78573
#9c796d
#5e463d
#cf9061
#33302d
#c0924d
#d1ba5d
#7a7223
#e2e2b6
#c3d824
#97c04f
#93c088
#3c796f
#45d3bf
#93c1cc
#478697
#575e79
