#7e8a28
#9c923e
#9f9d39
#c6bf9b
#cdcac0
#c7ae98
#bb9e97
#dca2a0
#cf7e72
#a44950
#a13a60
#773a4a
#5f4f4f
#392423
#692870
#698589
#468da0
#6b979b
#71b1b3
#42bcad
