#45d3bf
#b1c9c4
#b3d5d6
#9fc1d1
#bac8ce
#e3d0bf
#d4a298
#d09661
#db7631
#cd362a
#94312b
#5f4136
#3d2525
#445259
#3d787c
#3c796f
#665720
#826e56
#a38356
#c3d824
