#9e6d4f
#a17971
#a2395a
#9b253b
#333333
#2e3643
#304f6c
#2e6e92
#2774aa
#6d7cd1
#309dc8
#68b6da
#9abcdb
#96cdd6
#d6caba
#b7c49e
#82b582
#acb56d
#8aa852
#6b8539
