#3f362c
#494036
#444444
#4e4639
#2b5468
#745538
#556062
#37706c
#227777
#947233
#22a83d
#a0a481
#c2a07d
#cc9f4c
#40bf2f
#caa865
#cfac54
#ceb282
#b3bc8d
#b9b9b9
