#231a34
#452b46
#47362c
#3a3566
#5a2e41
#4d3e32
#5955a1
#b82886
#806f4d
#28879b
#409bb6
#e08072
#57af9c
#a7aa7f
#c9a66c
#acb28e
#ccb78c
#72c9da
#d1bc7b
#bdc489
