#d43535
#864c48
#be5c46
#d1ab7b
#e0c240
#ccca52
#96a363
#6f7951
#32352b
#41947f
#59bfb3
#3e5559
#3a6ba5
#333866
#8f92b3
#4c4c4e
#b373b3
#7a2767
#e499b8
#b32d53
