#5e2834
#7a4c56
#a67171
#c47070
#b0592e
#8f663a
#d9814a
#ce926c
#d9964a
#dfb053
#99c421
#3ccd3b
#8ace81
#accc80
#36c2bc
#51b4ca
#75846a
#48806a
#387568
#364737
