#5e2f37
#7e3c3d
#56574b
#964b5a
#49678d
#ad4d32
#a35c40
#ab856e
#619c8a
#a6958b
#c0997c
#a7a7a7
#d3a188
#9ac427
#bebebe
#c1c6c4
#cbd7bf
#d4d4d4
#ded8da
#cbe3ac
