#2f3fc3
#2f4368
#252821
#402820
#483b2a
#6b693c
#916437
#ad5456
#794b4d
#826871
#8a837d
#b0b1a1
#c9c9c7
#d4d39b
#c3ba2f
#dab78d
#d6b49b
#d6bbb4
#cd9fd1
#a09ac8
