#1f1f1f
#382828
#383030
#69483d
#3a565e
#695656
#a8341d
#566549
#c73831
#4c728f
#cc5959
#c6a788
#73bca5
#6cc97d
#88c95c
#9bc1a8
#d5b6a2
#dabeb2
#93d9cf
#dbdbdb
