#1c1f45
#7c4c8c
#719199
#82b5c2
#b1babd
#bca4bd
#d9aca3
#b8a986
#beae8c
#dec385
#c5a443
#b09635
#b2926b
#db9f83
#d2866f
#c9766e
#c96653
#b85a5a
#c0322e
#9d4251
