#402727
#5f5941
#827b5d
#998b6c
#a89776
#848a55
#6c7230
#449420
#5da43d
#5bb88b
#aae3ab
#dbc54d
#ccbc9b
#b2ad8d
#cbcac8
#d9baba
#c8a69c
#db8129
#b07a4d
#936e2a
