#26211d
#592551
#55342b
#613f2f
#804242
#b33e50
#c74a86
#648551
#a87660
#bf756b
#b373b3
#d86f71
#bd903d
#93a168
#4db8a1
#59bfb3
#d8b790
#bdc498
#8de0ce
#c9d8c4
