#261f70
#692870
#66452b
#515149
#4c5434
#71544e
#3d665c
#a13a60
#b33e6d
#d33146
#8f6a46
#668078
#a66f42
#8c8075
#7e8a28
#8f856c
#99954d
#ae9f88
#c7ca59
#e0e38c
