#a7b352
#999d51
#b9a372
#caac86
#d99e4c
#cb953b
#d28e6b
#cc6736
#b33e2d
#80483b
#722d1d
#332525
#3d3834
#59453a
#8c623a
#9e6c2b
#78756c
#2a5738
#368986
#5fcab0
