#42394a
#7d3a6f
#525261
#b53333
#6f627a
#ae4c36
#8c6755
#9b6e42
#888f4d
#9b8d88
#8a976c
#999936
#5ead7d
#afa49e
#9ebbbb
#deb093
#bab9be
#c8cc95
#d3d6bc
#caded8
