#47272a
#2c332d
#223a5c
#5c354b
#684651
#764e8c
#736479
#ad4d32
#806751
#ad6a62
#818149
#d8a497
#94b5d8
#76c483
#bbb799
#bfc092
#ccc2b8
#d3c95c
#bed3c3
#e1e3a0
