#71544e
#66452b
#a66f42
#8c8075
#8f6a46
#ae9f88
#8f856c
#99954d
#515149
#c7ca59
#e0e38c
#7e8a28
#4c5434
#668078
#3d665c
#261f70
#692870
#b33e6d
#a13a60
#d33146
