#ca463b
#cdc3c1
#9c745a
#c7a893
#d5b397
#c2a57c
#bcb84a
#d7d8d3
#2ed9a0
#276965
#73d0d1
#428f9f
#6a93d9
#312445
#581e6a
#9d4073
#cf82a5
#8c1d2e
#ba283d
#c03d4d
