#4325bc
#4330cc
#9973d1
#bca4bd
#d8a2ce
#e599ba
#dd7eb6
#ba5757
#d94343
#ba7d57
#ba9957
#cca358
#d9c5a7
#afba57
#52b677
#a6c3b0
#81c4b4
#6aa095
#82b5c2
#719199
