#403f3e
#2e4d4f
#8b3e24
#595959
#7e5f43
#af8a31
#42a668
#639ea6
#9e9683
#d68b47
#a89c7e
#a39e91
#a2a674
#b4a181
#bfb02b
#7cc37f
#c7b188
#5fc8a7
#95cc85
#debe8c
