#d2772e
#cda874
#d0cc75
#d0c228
#a4c421
#27ce9c
#a7a97a
#8c8e6a
#517d3c
#6b6f5e
#8e8e8e
#6c918f
#317484
#375160
#3f3b37
#2e344a
#75346b
#8f6e89
#995653
#df818f
