#1a2737
#322f38
#622434
#303b4b
#6b4242
#7d524f
#855067
#646d73
#b37490
#c46f85
#de5f72
#34a997
#d980a8
#bfb899
#c7b5c3
#afc1bd
#cfbd88
#bdc489
#99d2c7
#d9d0b4
