#638d84
#569c8c
#bbd8bb
#d3c95c
#cfc26d
#ccbc66
#d3963e
#c28c21
#a1826c
#d84351
#913a41
#4d1f2e
#3f2e5e
#696996
#60534b
#7a764d
#818149
#919771
#a5a08a
#afacb3
