#3d2525
#5f4136
#445259
#94312b
#665720
#3c796f
#cd362a
#3d787c
#826e56
#a38356
#db7631
#d09661
#d4a298
#9fc1d1
#45d3bf
#b1c9c4
#bac8ce
#c3d824
#b3d5d6
#e3d0bf
