#b25a58
#a96260
#cba077
#6a655b
#e3dfd7
#9b8742
#d7bd4f
#b39929
#d6d396
#e3e16d
#bfbfb2
#72a36c
#86c07f
#75b7c3
#89acc0
#33408d
#323136
#9628c3
#c22989
#b44043
