#227777
#37706c
#2b5468
#556062
#444444
#3f362c
#494036
#4e4639
#745538
#947233
#cc9f4c
#cfac54
#caa865
#ceb282
#c2a07d
#b9b9b9
#a0a481
#b3bc8d
#40bf2f
#22a83d
