#36374d
#372b3c
#342b2c
#282828
#566b73
#468da0
#6b979b
#7a9994
#858585
#cdcac0
#ded6ca
#c5d2c5
#adccb5
#8ecb7d
#c0b330
#be957e
#dca2a0
#c489a2
#cd4fbc
#aa2c52
