#dc4e4a
#bd5427
#ad4d32
#86454a
#543342
#60404d
#6b4d59
#8e656b
#997fbc
#aaa8b2
#9fb6c2
#2faead
#26856d
#2d6733
#2aa337
#47d156
#72e37e
#d6d283
#b6af92
#a69382
