#1f1f47
#321e3b
#252961
#512d2b
#4c3648
#354133
#424242
#294175
#354f60
#a62929
#64603a
#d92b45
#777777
#4a8490
#919191
#6ba88c
#aaae8e
#d8a49f
#d4aaae
#d7d595
