#3d2525
#94312b
#cd362a
#d4a298
#5f4136
#db7631
#e3d0bf
#d09661
#826e56
#a38356
#665720
#c3d824
#b1c9c4
#3c796f
#45d3bf
#b3d5d6
#3d787c
#bac8ce
#9fc1d1
#445259
