#ad4d32
#9f5433
#bf5e29
#736050
#695642
#837260
#6f6251
#4b3f2f
#94722b
#d9d593
#8a9124
#5c9391
#568181
#616769
#868e91
#303233
#b84463
#ab1d3c
#c42749
#a9353a
