#221b21
#262e3e
#433641
#385f6b
#7a5f76
#5e6d55
#3f718c
#8f6a6c
#6f7d3a
#8f7f80
#a17b90
#49929c
#d6638a
#a887a4
#af8a82
#cf9d9e
#67c2c4
#e4a4a2
#9ac48d
#bfbeb7
