#dca2a0
#c43b2b
#c29184
#9e7560
#d66f1a
#c59a70
#b3752a
#78674d
#c2ac87
#cdcac0
#c4b884
#a1a493
#7e9491
#6b979b
#468da0
#494881
#8d8793
#652f8c
#ad8b8f
#513b3d
