#ad6a62
#d8a497
#ad4d32
#806751
#ccc2b8
#bbb799
#d3c95c
#818149
#bfc092
#e1e3a0
#2c332d
#76c483
#bed3c3
#94b5d8
#223a5c
#764e8c
#736479
#5c354b
#684651
#47272a
