#2a2a5c
#452844
#42383f
#444685
#565366
#c12528
#69636e
#8f5f55
#bf3571
#928599
#968c37
#c28b48
#779e99
#af8ac2
#b4a387
#86b4a9
#c6ab74
#72d3bf
#d7c08e
#dbd3c0
