#7d3a6f
#42394a
#525261
#6f627a
#9b8d88
#deb093
#afa49e
#bab9be
#9ebbbb
#caded8
#d3d6bc
#c8cc95
#5ead7d
#8a976c
#888f4d
#999936
#9b6e42
#8c6755
#ae4c36
#b53333
