#c28076
#d98a68
#b88d72
#694b2f
#db9e4f
#c3af7c
#40423c
#376f48
#4ecc78
#2c9173
#a5b8b8
#232533
#272b4d
#b991b3
#8a4f80
#673347
#9c2552
#4b1b2d
#913b5b
#a27485
