#4c354f
#583c6c
#704c85
#8c4c8b
#d73659
#d6644d
#d17931
#b89f82
#cecc93
#a9ca93
#b5e3c6
#dfdfd1
#b6b8b0
#91998c
#7e8b86
#5d93a3
#5b6eae
#2b5b75
#626662
#565038
