#262c28
#41415e
#56463d
#4e5778
#b21d1a
#8c4e63
#996272
#976d96
#857e66
#25915c
#90823b
#9c836a
#2b9e81
#8a9974
#bc95a2
#cb9830
#a8a8a8
#acb369
#a5c6b7
#d6de26
