#2b2b2b
#d27355
#2a221f
#ae9873
#d6d5d1
#b5b18a
#d2cd55
#ced34d
#8eab85
#78ab90
#61a0c7
#3a6ba5
#86a7d3
#4a3c4c
#d547c3
#cc98bd
#704b53
#d24655
#d47e87
#804041
