#2a3644
#1d3e3c
#4b5567
#816b4e
#816f4e
#807344
#88724a
#7f7745
#d642af
#a1784a
#399199
#98876f
#cb7261
#be8228
#d18049
#d5a51f
#89bd7e
#b1bd97
#c4bc86
#cfc376
